PlaceName			HIF-1α-OH	HIF-1α-PHD	PHD	HIF-1β	HIF-1αβ	HIF-1αβ-HRE	mRNA	HRE	H+_ext_(pH_ext)	CO2_ext	H2O_ext	HCO-3_ext	CA2	NBC	H+_int_(pH_int)	CO2	H2O	VHL	HIF1α-OH-VHL	OH_HIF1α_degraded	HIF-1αβ-PHD	HIF-1αβ-OH-HRE	HIF-1αβ-OH	CA9	normoxia	HIF-1α	O2_inverse	O2	hypoxia	CA9_degraded	
PlaceID			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
----------------
Step	Time	Fired transition(s)
79	8.285406161621353	T28	9	1	49	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	1	49	0	0	
80	8.350707260665962	T2	9	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	46	1	49	0	0	
81	8.394955496678143	T28	9	1	49	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	1	49	0	0	
82	8.568859391577735	interface_HIF1α	9	1	49	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	1	49	0	0	
83	8.57721902974078	oxygen_supply_in	9	1	49	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	50	0	0	
84	8.65017263137153	T_HIF-1αβ_ass-PHD	9	1	48	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	48	0	50	0	0	
85	8.75661024005717	oxygen_supply_out	9	1	48	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	48	1	49	0	0	
86	8.804629608806565	oxygenation_HIF-1αβ	9	1	49	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	48	1	49	0	0	
87	8.965625508247513	oxygen_supply_in	9	1	49	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	48	0	50	0	0	
88	9.098811463330513	HIF-1αβ-OH-diss_HIF1-β	10	1	49	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	50	0	0	
89	9.131001909149251	oxygenation_HIF-1α	11	0	50	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	50	0	0	
90	9.440045653438188	interface_HIF1α	11	0	50	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	49	0	50	0	0	
91	9.595720274756557	T3	11	0	50	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	50	0	0	
92	9.696938812596114	T2	11	1	49	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	0	50	0	0	
93	9.701397197635485	T3	11	1	49	48	2	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	46	0	50	0	0	
94	9.709879035184075	T_HIF-1αβ_ass-PHD	11	1	48	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	46	0	50	0	0	
95	9.731629165200113	T_HIF-1αβ_ass-PHD	11	1	47	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	46	0	50	0	0	
96	9.783898981403707	T28	11	0	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	47	0	50	0	0	
97	10.111477302993803	oxygen_supply_out	11	0	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	47	1	49	0	0	
98	10.141046265511958	oxygen_supply_out	11	0	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	47	2	48	0	0	
99	10.336826027861267	interface_HIF1α	11	0	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	48	2	48	0	0	
