PlaceName			HIF-1α-OH	HIF-1α-PHD	PHD	HIF-1β	HIF-1αβ	HIF-1αβ-HRE	mRNA	HRE	H+_ext_(pH_ext)	CO2_ext	H2O_ext	HCO-3_ext	CA2	NBC	H+_int_(pH_int)	CO2	H2O	VHL	HIF1α-OH-VHL	OH_HIF1α_degraded	HIF-1αβ-PHD	HIF-1αβ-OH-HRE	HIF-1αβ-OH	CA9	normoxia	HIF-1α	O2_inverse	O2	hypoxia	CA9_degraded	
PlaceID			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
----------------
Step	Time	Fired transition(s)
51	5.327164399792503	HIF1α-OH-VHL_ass	4	0	50	50	0	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	0	0	0	0	1	49	22	28	0	0	
52	5.3920790800194105	HIF-1αβ_ass	4	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	0	0	0	0	1	48	22	28	0	0	
53	5.452942278205166	HIF1α-OH-VHL_ass	3	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	1	0	0	0	0	1	48	22	28	0	0	
54	5.567009206999099	HIF1α-OH-VHL_ass	2	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	47	3	1	0	0	0	0	1	48	22	28	0	0	
55	5.678495196819516	oxygen_supply_in	2	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	47	3	1	0	0	0	0	1	48	21	29	0	0	
56	5.712825505861578	oxygen_supply_in	2	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	47	3	1	0	0	0	0	1	48	20	30	0	0	
57	5.882825953351167	interface_HIF1α	2	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	47	3	1	0	0	0	0	1	49	20	30	0	0	
58	5.994609320911429	HIF1α-OH-VHL_degradation	2	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	2	0	0	0	0	1	49	20	30	0	0	
59	6.005181496051395	interface_HIF1α	2	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	2	0	0	0	0	1	50	20	30	0	0	
60	6.079276355941576	HIF-1αβ-PHD_ass	2	0	49	49	0	0	0	50	0	1	1	0	1	1	0	0	0	48	2	2	1	0	0	0	1	50	20	30	0	0	
61	6.164406842823113	oxygenation_HIF-1αβ	2	0	50	49	0	0	0	50	0	1	1	0	1	1	0	0	0	48	2	2	0	0	1	0	1	50	20	30	0	0	
62	6.310315831692339	HIF-1αβ_ass	2	0	50	48	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	2	0	0	1	0	1	49	20	30	0	0	
63	6.7336658198965	HIF1α-OH-VHL_ass	1	0	50	48	1	0	0	50	0	1	1	0	1	1	0	0	0	47	3	2	0	0	1	0	1	49	20	30	0	0	
64	6.765536223232772	HIF-1α-PHD_ass	1	1	49	48	1	0	0	50	0	1	1	0	1	1	0	0	0	47	3	2	0	0	1	0	1	48	20	30	0	0	
65	6.787976413078342	HIF1α-OH-VHL_degradation	1	1	49	48	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	3	0	0	1	0	1	48	20	30	0	0	
66	6.810747262663092	oxygenation_HIF-1α	2	0	50	48	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	3	0	0	1	0	1	48	20	30	0	0	
67	6.8560036072764685	HIF-1αβ-OH_diss	3	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	3	0	0	0	0	1	48	20	30	0	0	
68	6.8706188856189945	interface_HIF1α	3	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	3	0	0	0	0	1	49	20	30	0	0	
69	6.984904430515813	oxygen_supply_in	3	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	3	0	0	0	0	1	49	19	31	0	0	
70	7.004452574040473	HIF1α-OH-VHL_degradation	3	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	4	0	0	0	0	1	49	19	31	0	0	
71	7.068892971109965	oxygen_supply_in	3	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	4	0	0	0	0	1	49	18	32	0	0	
72	7.092801253469876	HIF-1α-PHD_ass	3	1	49	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	4	0	0	0	0	1	48	18	32	0	0	
73	7.154585929011578	oxygen_supply_in	3	1	49	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	4	0	0	0	0	1	48	17	33	0	0	
74	7.232146824465811	interface_HIF1α	3	1	49	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	4	0	0	0	0	1	49	17	33	0	0	
75	7.297579301618831	oxygenation_HIF-1α	4	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	4	0	0	0	0	1	49	17	33	0	0	
76	7.358825853772515	oxygen_supply_out	4	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	4	0	0	0	0	1	49	18	32	0	0	
77	7.40097963227185	HIF1α-OH-VHL_degradation	4	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	50	0	5	0	0	0	0	1	49	18	32	0	0	
78	7.519232288235484	HIF-1αβ_diss	4	0	50	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	5	0	0	0	0	1	50	18	32	0	0	
79	7.583118771123607	HIF1α-OH-VHL_ass	3	0	50	50	0	0	0	50	0	1	1	0	1	1	0	0	0	49	1	5	0	0	0	0	1	50	18	32	0	0	
80	7.755477282876512	HIF1α-OH-VHL_ass	2	0	50	50	0	0	0	50	0	1	1	0	1	1	0	0	0	48	2	5	0	0	0	0	1	50	18	32	0	0	
81	7.788863522074821	interface_HIF1α	2	0	50	50	0	0	0	50	0	1	1	0	1	1	0	0	0	48	2	5	0	0	0	0	1	51	18	32	0	0	
82	7.989261977576126	oxygen_supply_out	2	0	50	50	0	0	0	50	0	1	1	0	1	1	0	0	0	48	2	5	0	0	0	0	1	51	19	31	0	0	
83	8.179677092497373	oxygen_supply_in	2	0	50	50	0	0	0	50	0	1	1	0	1	1	0	0	0	48	2	5	0	0	0	0	1	51	18	32	0	0	
84	8.293829750111232	HIF-1αβ_ass	2	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	5	0	0	0	0	1	50	18	32	0	0	
85	8.562470528945935	HIF-1αβ-PHD_ass	2	0	49	49	0	0	0	50	0	1	1	0	1	1	0	0	0	48	2	5	1	0	0	0	1	50	18	32	0	0	
86	8.84080907899387	HIF-1αβ_ass	2	0	49	48	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	5	1	0	0	0	1	49	18	32	0	0	
87	8.851987997749802	oxygen_supply_out	2	0	49	48	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	5	1	0	0	0	1	49	19	31	0	0	
