PlaceName			HIF-1α-OH	HIF-1α-PHD	PHD	HIF-1β	HIF-1αβ	HIF-1αβ-HRE	mRNA	HRE	H+_ext_(pH_ext)	CO2_ext	H2O_ext	HCO-3_ext	CA2	NBC	H+_int_(pH_int)	CO2	H2O	VHL	HIF1α-OH-VHL	OH_HIF1α_degraded	HIF-1αβ-PHD	HIF-1αβ-OH-HRE	HIF-1αβ-OH	CA9	normoxia	HIF-1α	O2_inverse	O2	hypoxia	CA9_degraded	
PlaceID			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
----------------
Step	Time	Fired transition(s)
53	10.105951852293996	HIF-1αβ-HRE_ass	0	0	49	48	0	1	0	49	0	1	1	0	1	1	8	0	0	50	0	0	1	0	0	1	0	63	50	0	1	0	
54	10.140206834331375	HIF-1αβ_ass	0	0	49	47	1	1	0	49	0	1	1	0	1	1	8	0	0	50	0	0	1	0	0	1	0	62	50	0	1	0	
55	10.39289700885598	HIF-1α-PHD_ass	0	1	48	47	1	1	0	49	0	1	1	0	1	1	8	0	0	50	0	0	1	0	0	1	0	61	50	0	1	0	
56	10.418978170359376	HIF-1αβ-HRE_ass	0	1	48	47	0	2	0	48	0	1	1	0	1	1	8	0	0	50	0	0	1	0	0	1	0	61	50	0	1	0	
57	10.423767161437484	HIF-1αβ_ass	0	1	48	46	1	2	0	48	0	1	1	0	1	1	8	0	0	50	0	0	1	0	0	1	0	60	50	0	1	0	
58	10.455174504467317	HIF-1αβ-PHD_ass	0	1	47	46	0	2	0	48	0	1	1	0	1	1	8	0	0	50	0	0	2	0	0	1	0	60	50	0	1	0	
59	10.457471085229368	interface_HIF1α	0	1	47	46	0	2	0	48	0	1	1	0	1	1	8	0	0	50	0	0	2	0	0	1	0	61	50	0	1	0	
60	10.962064475669028	HIF-1α-PHD_diss	0	0	48	46	0	2	0	48	0	1	1	0	1	1	8	0	0	50	0	0	2	0	0	1	0	62	50	0	1	0	
61	11.02217853687874	HIF-1αβ-HRE_Transcription	0	0	48	46	0	2	1	48	0	1	1	0	1	1	8	0	0	50	0	0	2	0	0	1	0	62	50	0	1	0	
62	11.098630247113748	interface_HIF1α	0	0	48	46	0	2	1	48	0	1	1	0	1	1	8	0	0	50	0	0	2	0	0	1	0	63	50	0	1	0	
63	11.260687149038219	mRNA_translation	0	0	48	46	0	2	0	48	0	1	1	0	1	1	8	0	0	50	0	0	2	0	0	2	0	63	50	0	1	0	
64	11.463603527018808	HIF-1αβ-HRE_Transcription	0	0	48	46	0	2	1	48	0	1	1	0	1	1	8	0	0	50	0	0	2	0	0	2	0	63	50	0	1	0	
65	11.50269836467087	mRNA_translation	0	0	48	46	0	2	0	48	0	1	1	0	1	1	8	0	0	50	0	0	2	0	0	3	0	63	50	0	1	0	
66	11.525116819456166	H2O-CO2-conversion	0	0	48	46	0	2	0	48	1	1	1	1	1	1	8	0	0	50	0	0	2	0	0	3	0	63	50	0	1	0	
67	11.57030281953178	H2O-CO2-conversion	0	0	48	46	0	2	0	48	2	1	1	2	1	1	8	0	0	50	0	0	2	0	0	3	0	63	50	0	1	0	
